"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"EMINENCE SPEAKER LLC","KY0000002110300025","KY","110011888458","334310",38.35859,-85.16669,,"POF","Privately Owned Facility"
"ENDEAVOR AIRLINES","KY0000002101500231","KY","110055078561","481111",39.040551,-84.663572,,"POF","Privately Owned Facility"
"ENERGY CORPORATION OF AMERICA WELL #77782 API # 1615900188","040001615900188","KY","110069569568","211111",37.5336807,-85.2929841,,,
"ENERGY CORPORATION OF AMERICA WELL #80175 API #1615900463","040002115900463","KY","110069567310","211111",37.5336807,-85.2929841,,,
"ENERGY CORPORATION OF AMERICA WELL #80176 API # 1615900464","0400016-159-00464","KY","110069567310","211111",37.5336807,-85.2929841,,,
"ENERGY CORPORATION OF AMERICA WELL #83252 API #1615900800","040002115900800","KY","110069567310","211111",37.5336807,-85.2929841,,,
"ENERGY CORPORATION OF AMERICA WELL #83797 API #1615900803","040002115900803","KY","110069567310","211111",37.5336807,-85.2929841,,,
"ENERGY CORPORATION OF AMERICA WELL #84848 API #1615900821","040002115900821ENE","KY","110069567310","211111",37.5336807,-85.2929841,,,
"ENERSYS DELAWARE INC","KY0000002115100032","KY","110000379279","335910",37.734001,-84.292892,138,"POF","Privately Owned Facility"
"ENERSYS INC","KY0000002115100046","KY","110031499144","326199",37.737382,-84.276188,,"POF","Privately Owned Facility"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE CO","KY0000002117700079","KY","110063153607","325920",37.242757,-87.281032,,"POF","Privately Owned Facility"
"EQT GATHERING LLC - DERBY COMPRESSOR STATION","KY0000002119500284","KY","110043324408","211111",37.557778,-82.1923,,"POF","Privately Owned Facility"
"EQT GATHERING LLC - PERRY COMPRESSOR STATION","KY0000002119300105","KY","110040872703","211111 211120",37.229523,-83.113966,,"POF","Privately Owned Facility"
"EQT WELL #565858 API #1619505447","0400021195565858","KY","110069571323","211111",37.5336807,-85.2929841,,,
"EQT WELL #565859 API #1619505317","0400021195565859","KY","110069571840","211111",37.5336807,-85.2929841,,,
"EQT WELL #571905 API #1619506475","040001619506475","KY","110069570734","211111",37.5336807,-85.2929841,,,
"EQT WELL #571906  API #1619506471","040001619506471","KY","110069567294","211111",37.5336807,-85.2929841,,,
"EQT WELL #572143  API #1619506522","040001619506522","KY","110069570315","211111",37.5336807,-85.2929841,,,
